,Validity,Frequency,Consistency,Completeness,Uniqueness,Accuracy,Overall Score
2023-07-28 05:00:00+00:00,99.96,99.99,100.0,99.99,95.41,99.99,99.75
2023-07-29 05:00:00+00:00,99.99,100.0,100.0,100.0,90.91,100.0,99.54
Weightage (%),35.0,25.0,5.0,5.0,5.0,25.0,100.0
