Time,BPOS,DBTM,DMEA,HKLA,MFIA,RPMA,SPPA,TQA,TV01,TVT,WOBA
2023-07-28T05:03:55.0000000Z,29.925,4751.425,4752,174.89,110.22,0,710.085,0,34.42,107.085,0
2023-07-28T05:04:00.0000000Z,29.93,4751.42,4752,174.88,112.98,0,710.73,0,33.84,106.52,0
2023-07-28T05:04:05.0000000Z,29.93,4751.42,4752,174.905,110.22,0,711.375,0,34.06,106.91,0
2023-07-28T05:04:10.0000000Z,29.93,4751.42,4752,174.9,112.98,0,712.02,0,33.73,106.69,0
2023-07-28T05:04:15.0000000Z,29.93,4751.42,4752,174.855,110.22,0,712.665,0,32.81,105.22,0
2023-07-28T05:04:20.0000000Z,29.93,4751.42,4752,174.91,110.22,0,710.73,0,34.9,107.33,0
2023-07-28T05:04:25.0000000Z,29.93,4751.42,4752,174.895,110.22,0,711.375,0,34.49,107.17,0
2023-07-28T05:04:30.0000000Z,29.93,4751.42,4752,174.9,110.22,0,709.44,0,33.05,105.77,0
2023-07-28T05:04:35.0000000Z,29.925,4751.425,4752,174.855,110.22,0,710.73,0,34.16,106.47,0
2023-07-28T05:04:40.0000000Z,29.93,4751.42,4752,174.9,112.98,0,712.02,0,32.6,105.5,0
2023-07-28T05:04:45.0000000Z,29.93,4751.42,4752,174.86,110.22,0,710.73,0,33.105,105.965,0
2023-07-28T05:04:50.0000000Z,29.93,4751.42,4752,174.89,112.98,0,713.31,0,34.08,106.91,0
2023-07-28T05:04:55.0000000Z,29.93,4751.42,4752,174.88,110.22,0,710.085,0,34.025,106.71,0
2023-07-28T05:05:00.0000000Z,29.93,4751.42,4752,174.91,110.22,0,712.02,0,34.59,107.19,0
2023-07-28T05:05:05.0000000Z,29.93,4751.42,4752,174.885,111.6,0,711.375,0,33.46,105.975,0
2023-07-28T05:05:10.0000000Z,29.93,4751.42,4752,174.86,112.98,0,712.02,0,33.43,106.39,0
2023-07-28T05:05:15.0000000Z,29.93,4751.42,4752,174.88,110.22,0,710.085,0,33.36,106.005,0
2023-07-28T05:05:20.0000000Z,29.93,4751.42,4752,174.85,112.98,0,708.15,0,34.86,107.36,0
2023-07-28T05:05:25.0000000Z,29.93,4751.42,4752,174.87,110.22,0,711.375,0,33.475,106.15,0
2023-07-28T05:05:30.0000000Z,29.93,4751.42,4752,174.91,110.22,0,708.15,0,33.63,106.33,0
2023-07-28T05:05:35.0000000Z,29.93,4751.42,4752,174.9,111.6,0,710.085,0,34.675,107.365,0
2023-07-28T05:05:40.0000000Z,29.93,4751.42,4752,174.85,110.22,0,710.73,0,33.7,106.52,0
2023-07-28T05:05:45.0000000Z,29.93,4751.42,4752,174.85,110.22,0,708.795,0,33.135,105.84,0
2023-07-28T05:05:50.0000000Z,29.93,4751.42,4752,174.91,110.22,0,712.02,0,33.73,106.1,0
2023-07-28T05:05:55.0000000Z,29.93,4751.42,4752,174.88,110.22,0,710.73,0,33.715,106.215,0
2023-07-28T05:06:00.0000000Z,29.93,4751.42,4752,174.9,110.22,0,710.73,0,34.73,107.43,0
2023-07-28T05:06:05.0000000Z,29.93,4751.42,4752,174.875,111.6,0,710.085,0,32.725,105.5,0
2023-07-28T05:06:10.0000000Z,29.93,4751.42,4752,174.89,110.22,0,709.44,0,34.04,106.83,0
2023-07-28T05:06:15.0000000Z,29.93,4751.42,4752,174.8833,112.98,0,710.3,0,33.56,106.2567,0
2023-07-28T05:06:20.0000000Z,29.93,4751.42,4752,174.89,110.22,0,708.15,0,33.67,106.47,0
2023-07-28T05:06:25.0000000Z,29.93,4751.42,4752,174.89,111.6,0,709.44,0,34.095,106.985,0
