,Validity,Frequency,Consistency,Completeness,Uniqueness,Accuracy,Overall Score
2023-07-28 05:00:00+00:00,99.96,99.99,100.0,99.99,62.96,99.98,98.13
2023-07-29 05:00:00+00:00,99.97,99.99,100.0,99.99,55.96,99.9,97.76
Weightage (%),35.0,25.0,5.0,5.0,5.0,25.0,100.0
