,Time,BDEP,Validity_1,Frequency_1,Consistency_1,Uniqueness_1,Accuracy_1,BHT,Validity_2,Frequency_2,Consistency_2,Uniqueness_2,Accuracy_2,CTOR,Validity_3,Frequency_3,Consistency_3,Uniqueness_3,DEPT,Validity_4,Frequency_4,Consistency_4,Uniqueness_4,RPM,Validity_5,Frequency_5,Consistency_5,Uniqueness_5,Completeness
33,2023-04-15T12:00:33.0000000-05:00,8111.61,True,True,True,True,False,27.94,True,True,True,True,False,5.71,True,True,True,True,8121.13,True,True,True,False,24.96,True,True,True,True,True
34,2023-04-15T12:00:34.0000000-05:00,8111.78,True,True,True,True,False,27.83,True,True,True,True,False,5.71,True,True,True,False,8121.13,True,True,True,False,24.96,True,True,True,False,True
35,2023-04-15T12:00:35.0000000-05:00,8111.88,True,True,True,True,False,27.7,True,True,True,True,False,5.166,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
36,2023-04-15T12:00:36.0000000-05:00,8112.01,True,True,True,True,False,27.56,True,True,True,True,False,5.404,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
37,2023-04-15T12:00:37.0000000-05:00,8112.14,True,True,True,True,False,27.43,True,True,True,True,False,5.602,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
38,2023-04-15T12:00:38.0000000-05:00,8112.27,True,True,True,True,False,27.32,True,True,True,True,False,5.5,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
39,2023-04-15T12:00:39.0000000-05:00,8112.4,True,True,True,True,False,27.21,True,True,True,True,False,5.676,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
40,2023-04-15T12:00:40.0000000-05:00,8112.5,True,True,True,True,False,27.1,True,True,True,True,False,5.445,True,True,True,True,8121.13,True,True,True,False,25.13,True,True,True,True,True
41,2023-04-15T12:00:41.0000000-05:00,8112.6,True,True,True,True,False,26.97,True,True,True,True,False,5.33,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
42,2023-04-15T12:00:42.0000000-05:00,8112.73,True,True,True,True,False,26.83,True,True,True,True,False,5.398,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
43,2023-04-15T12:00:43.0000000-05:00,8112.86,True,True,True,True,False,26.7,True,True,True,True,False,5.459,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
44,2023-04-15T12:00:44.0000000-05:00,8112.99,True,True,True,True,False,26.59,True,True,True,True,False,5.16,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
45,2023-04-15T12:00:45.0000000-05:00,8113.16,True,True,True,True,False,26.46,True,True,True,True,False,5.479,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
46,2023-04-15T12:00:46.0000000-05:00,8113.25,True,True,True,True,False,26.35,True,True,True,True,False,5.561,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
47,2023-04-15T12:00:47.0000000-05:00,8113.35,True,True,True,True,False,26.24,True,True,True,True,False,5.561,True,True,True,False,8121.13,True,True,True,False,24.99,True,True,True,True,True
48,2023-04-15T12:00:48.0000000-05:00,8113.45,True,True,True,True,False,26.13,True,True,True,True,False,5.411,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
49,2023-04-15T12:00:49.0000000-05:00,8113.62,True,True,True,True,False,26.0,True,True,True,True,False,5.336,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
50,2023-04-15T12:00:50.0000000-05:00,8113.71,True,True,True,True,False,25.86,True,True,True,True,False,5.404,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
51,2023-04-15T12:00:51.0000000-05:00,8113.85,True,True,True,True,False,25.73,True,True,True,True,False,5.268,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,False,True
52,2023-04-15T12:00:52.0000000-05:00,8113.98,True,True,True,True,False,25.62,True,True,True,True,False,5.418,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,False,True
53,2023-04-15T12:00:53.0000000-05:00,8114.11,True,True,True,True,False,25.48,True,True,True,True,False,5.262,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
54,2023-04-15T12:00:54.0000000-05:00,8114.24,True,True,True,True,False,25.38,True,True,True,True,False,5.296,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
55,2023-04-15T12:00:55.0000000-05:00,8114.37,True,True,True,True,False,25.24,True,True,True,True,False,5.316,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
56,2023-04-15T12:00:56.0000000-05:00,8114.5,True,True,True,True,False,25.1,True,True,True,True,False,5.194,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
57,2023-04-15T12:00:57.0000000-05:00,8114.63,True,True,True,True,False,24.97,True,True,True,True,False,5.248,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
58,2023-04-15T12:00:58.0000000-05:00,8114.76,True,True,True,True,False,24.83,True,True,True,True,False,5.173,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,False,True
59,2023-04-15T12:00:59.0000000-05:00,8114.86,True,True,True,True,False,24.73,True,True,True,True,False,5.364,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
60,2023-04-15T12:01:00.0000000-05:00,8114.99,True,True,True,True,False,24.59,True,True,True,True,False,5.472,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
61,2023-04-15T12:01:01.0000000-05:00,8115.12,True,True,True,True,False,24.46,True,True,True,True,False,4.99,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
62,2023-04-15T12:01:02.0000000-05:00,8115.26,True,True,True,True,False,24.32,True,True,True,True,False,5.336,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
63,2023-04-15T12:01:03.0000000-05:00,8115.39,True,True,True,True,False,24.19,True,True,True,True,False,5.656,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
64,2023-04-15T12:01:04.0000000-05:00,8115.52,True,True,True,True,False,24.08,True,True,True,True,False,5.248,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
65,2023-04-15T12:01:05.0000000-05:00,8115.62,True,True,True,True,False,23.97,True,True,True,True,False,5.527,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
66,2023-04-15T12:01:06.0000000-05:00,8115.75,True,True,True,True,False,23.83,True,True,True,True,False,5.527,True,True,True,False,8121.13,True,True,True,False,25.09,True,True,True,False,True
67,2023-04-15T12:01:07.0000000-05:00,8115.88,True,True,True,True,False,23.7,True,True,True,True,False,5.33,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
